molregno,chembl_id,chirality,molecule_type,canonical_smiles,alogp,molecular_species,action_type
1124,CHEMBL19,2,Small molecule,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,-1.42,NEUTRAL,INHIBITOR
675068,CHEMBL1201117,0,Small molecule,COc1ccccc1OCC(O)COC(N)=O,0.53,NEUTRAL,INHIBITOR
674765,CHEMBL1200814,2,Small molecule,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],-0.86,NEUTRAL,INHIBITOR
1085,CHEMBL17,2,Small molecule,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.29,NEUTRAL,INHIBITOR
1125,CHEMBL20,2,Small molecule,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.86,NEUTRAL,INHIBITOR
1124,CHEMBL19,2,Small molecule,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,-1.42,NEUTRAL,INHIBITOR
378315,CHEMBL1450,1,Small molecule,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,5.51,ACID,INHIBITOR
674722,CHEMBL1200771,0,Small molecule,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1.[Cl-],4.72,NEUTRAL,ANTAGONIST
1102940,CHEMBL1722209,1,Small molecule,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)C(O)C(O)C(=O)O,5.34,BASE,ANTAGONIST
230999,CHEMBL1240,2,Small molecule,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],4.73,NEUTRAL,ANTAGONIST
674857,CHEMBL1200906,0,Small molecule,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-],3.48,NEUTRAL,ANTAGONIST
554127,CHEMBL1724,0,Small molecule,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],2.7,NEUTRAL,ANTAGONIST
1049461,CHEMBL1626570,0,Small molecule,COS(=O)(=O)[O-].C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,2.85,NEUTRAL,ANTAGONIST
674831,CHEMBL1200880,2,Small molecule,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,4.36,,ANTAGONIST
674430,CHEMBL1200479,2,Small molecule,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,4.4,BASE,ANTAGONIST
594843,CHEMBL1768,0,Small molecule,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],0.18,NEUTRAL,AGONIST
453573,CHEMBL1578,1,Small molecule,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C.[Br-],3.52,,ANTAGONIST
1418097,CHEMBL2146146,0,Small molecule,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,1.93,BASE,ANTAGONIST
445395,CHEMBL517712,0,Small molecule,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,1.93,BASE,ANTAGONIST
674555,CHEMBL1200604,0,Small molecule,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,2.21,NEUTRAL,ANTAGONIST
674754,CHEMBL1200803,1,Small molecule,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,3.86,BASE,ANTAGONIST
